Sample in Buffer,Sample in Window,TRIGGER,dbg_sample[31:0],dbg_expected[31:0],dbg_pred[31:0],dbg_cycles[31:0],dbg_correct[31:0],dbg_pulse,custom_funct3[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,167,0,0,655,168,0,2
1,1,0,167,0,0,655,168,0,2
2,2,0,167,0,0,655,168,0,2
3,3,0,167,0,0,655,168,0,0
4,4,0,167,0,0,655,168,0,0
5,5,0,167,0,0,655,168,0,0
6,6,0,167,0,0,655,168,0,2
7,7,0,167,0,0,655,168,0,2
8,8,0,167,0,0,655,168,0,2
9,9,0,167,0,0,655,168,0,7
10,10,0,167,0,0,655,168,0,7
11,11,0,167,0,0,655,168,0,7
12,12,0,167,0,0,655,168,0,2
13,13,0,167,0,0,655,168,0,2
14,14,0,167,0,0,655,168,0,2
15,15,0,167,0,0,655,168,0,2
16,16,0,167,0,0,655,168,0,7
17,17,0,167,0,0,655,168,0,7
18,18,0,167,0,0,655,168,0,7
19,19,0,167,0,0,655,168,0,2
20,20,0,167,0,0,655,168,0,2
21,21,0,167,0,0,655,168,0,2
22,22,0,167,0,0,655,168,0,2
23,23,0,167,0,0,655,168,0,0
24,24,0,167,0,0,655,168,0,0
25,25,0,167,0,0,655,168,0,0
26,26,0,167,0,0,655,168,0,2
27,27,0,167,0,0,655,168,0,2
28,28,0,167,0,0,655,168,0,2
29,29,0,167,0,0,655,168,0,7
30,30,0,167,0,0,655,168,0,7
31,31,0,167,0,0,655,168,0,7
32,32,0,167,0,0,655,168,0,2
33,33,0,167,0,0,655,168,0,2
34,34,0,167,0,0,655,168,0,2
35,35,0,167,0,0,655,168,0,2
36,36,0,167,0,0,655,168,0,7
37,37,0,167,0,0,655,168,0,7
38,38,0,167,0,0,655,168,0,7
39,39,0,167,0,0,655,168,0,2
40,40,0,167,0,0,655,168,0,2
41,41,0,167,0,0,655,168,0,2
42,42,0,167,0,0,655,168,0,2
43,43,0,167,0,0,655,168,0,0
44,44,0,167,0,0,655,168,0,0
45,45,0,167,0,0,655,168,0,0
46,46,0,167,0,0,655,168,0,2
47,47,0,167,0,0,655,168,0,2
48,48,0,167,0,0,655,168,0,2
49,49,0,167,0,0,655,168,0,7
50,50,0,167,0,0,655,168,0,7
51,51,0,167,0,0,655,168,0,7
52,52,0,167,0,0,655,168,0,2
53,53,0,167,0,0,655,168,0,2
54,54,0,167,0,0,655,168,0,2
55,55,0,167,0,0,655,168,0,2
56,56,0,167,0,0,655,168,0,7
57,57,0,167,0,0,655,168,0,7
58,58,0,167,0,0,655,168,0,7
59,59,0,167,0,0,655,168,0,2
60,60,0,167,0,0,655,168,0,2
61,61,0,167,0,0,655,168,0,2
62,62,0,167,0,0,655,168,0,2
63,63,0,167,0,0,655,168,0,0
64,64,0,167,0,0,655,168,0,0
65,65,0,167,0,0,655,168,0,0
66,66,0,167,0,0,655,168,0,2
67,67,0,167,0,0,655,168,0,2
68,68,0,167,0,0,655,168,0,2
69,69,0,167,0,0,655,168,0,7
70,70,0,167,0,0,655,168,0,7
71,71,0,167,0,0,655,168,0,7
72,72,0,167,0,0,655,168,0,2
73,73,0,167,0,0,655,168,0,2
74,74,0,167,0,0,655,168,0,2
75,75,0,167,0,0,655,168,0,2
76,76,0,167,0,0,655,168,0,7
77,77,0,167,0,0,655,168,0,7
78,78,0,167,0,0,655,168,0,7
79,79,0,167,0,0,655,168,0,2
80,80,0,167,0,0,655,168,0,2
81,81,0,167,0,0,655,168,0,2
82,82,0,167,0,0,655,168,0,2
83,83,0,167,0,0,655,168,0,0
84,84,0,167,0,0,655,168,0,0
85,85,0,167,0,0,655,168,0,0
86,86,0,167,0,0,655,168,0,2
87,87,0,167,0,0,655,168,0,2
88,88,0,167,0,0,655,168,0,2
89,89,0,167,0,0,655,168,0,7
90,90,0,167,0,0,655,168,0,7
91,91,0,167,0,0,655,168,0,7
92,92,0,167,0,0,655,168,0,2
93,93,0,167,0,0,655,168,0,2
94,94,0,167,0,0,655,168,0,2
95,95,0,167,0,0,655,168,0,2
96,96,0,167,0,0,655,168,0,7
97,97,0,167,0,0,655,168,0,7
98,98,0,167,0,0,655,168,0,7
99,99,0,167,0,0,655,168,0,2
100,100,0,167,0,0,655,168,0,2
101,101,0,167,0,0,655,168,0,2
102,102,0,167,0,0,655,168,0,2
103,103,0,167,0,0,655,168,0,0
104,104,0,167,0,0,655,168,0,0
105,105,0,167,0,0,655,168,0,0
106,106,0,167,0,0,655,168,0,2
107,107,0,167,0,0,655,168,0,2
108,108,0,167,0,0,655,168,0,2
109,109,0,167,0,0,655,168,0,7
110,110,0,167,0,0,655,168,0,7
111,111,0,167,0,0,655,168,0,7
112,112,0,167,0,0,655,168,0,2
113,113,0,167,0,0,655,168,0,2
114,114,0,167,0,0,655,168,0,2
115,115,0,167,0,0,655,168,0,2
116,116,0,167,0,0,655,168,0,7
117,117,0,167,0,0,655,168,0,7
118,118,0,167,0,0,655,168,0,7
119,119,0,167,0,0,655,168,0,2
120,120,0,167,0,0,655,168,0,2
121,121,0,167,0,0,655,168,0,2
122,122,0,167,0,0,655,168,0,2
123,123,0,167,0,0,655,168,0,0
124,124,0,167,0,0,655,168,0,0
125,125,0,167,0,0,655,168,0,0
126,126,0,167,0,0,655,168,0,2
127,127,0,167,0,0,655,168,0,2
128,128,0,167,0,0,655,168,0,2
129,129,0,167,0,0,655,168,0,7
130,130,0,167,0,0,655,168,0,7
131,131,0,167,0,0,655,168,0,7
132,132,0,167,0,0,655,168,0,2
133,133,0,167,0,0,655,168,0,2
134,134,0,167,0,0,655,168,0,2
135,135,0,167,0,0,655,168,0,2
136,136,0,167,0,0,655,168,0,7
137,137,0,167,0,0,655,168,0,7
138,138,0,167,0,0,655,168,0,7
139,139,0,167,0,0,655,168,0,2
140,140,0,167,0,0,655,168,0,2
141,141,0,167,0,0,655,168,0,2
142,142,0,167,0,0,655,168,0,2
143,143,0,167,0,0,655,168,0,0
144,144,0,167,0,0,655,168,0,0
145,145,0,167,0,0,655,168,0,0
146,146,0,167,0,0,655,168,0,2
147,147,0,167,0,0,655,168,0,2
148,148,0,167,0,0,655,168,0,2
149,149,0,167,0,0,655,168,0,7
150,150,0,167,0,0,655,168,0,7
151,151,0,167,0,0,655,168,0,7
152,152,0,167,0,0,655,168,0,2
153,153,0,167,0,0,655,168,0,2
154,154,0,167,0,0,655,168,0,2
